KNN Line Recall scores
KNN k=1: [np.float64(0.5641355641355641), np.float64(0.5804109589041097), np.float64(0.5885714285714285), np.float64(0.6308932648401826), np.float64(0.6695534200113058), np.float64(0.668631931949023), np.float64(0.6643224939123377), np.float64(0.6345698449467346), np.float64(0.6598162920962459), np.float64(0.6492663692346362), np.float64(0.660526211622156), np.float64(0.6673599599069763), np.float64(0.6751749199444895), np.float64(0.6634050880626223), np.float64(0.6589639082090828), np.float64(0.6611629497275715), np.float64(0.6640762574748929), np.float64(0.6768828463415109), np.float64(0.5884559884559885)]
KNN k=2: [np.float64(0.5641355641355641), np.float64(0.5804109589041097), np.float64(0.5885714285714285), np.float64(0.6308932648401826), np.float64(0.6695534200113058), np.float64(0.668631931949023), np.float64(0.6643224939123377), np.float64(0.6345698449467346), np.float64(0.6598162920962459), np.float64(0.6492663692346362), np.float64(0.660526211622156), np.float64(0.6673599599069763), np.float64(0.6751749199444895), np.float64(0.6634050880626223), np.float64(0.6589639082090828), np.float64(0.6611629497275715), np.float64(0.6640762574748929), np.float64(0.6768828463415109), np.float64(0.5884559884559885)]
KNN k=3: [np.float64(0.6040307548928239), np.float64(0.6981536628945801), np.float64(0.6371728117084153), np.float64(0.6686811710985764), np.float64(0.6748154539353848), np.float64(0.6810181249484374), np.float64(0.668523422168489), np.float64(0.6615406341998631), np.float64(0.6697404722936638), np.float64(0.6749224834368907), np.float64(0.6915248936952492), np.float64(0.6724181599551592), np.float64(0.6891095916214588), np.float64(0.6862627195110591), np.float64(0.6654467042392114), np.float64(0.6822458648015114), np.float64(0.6905576559513031), np.float64(0.6824805442526846), np.float64(0.6003660432231861)]
KNN k=4: [np.float64(0.5279589934762349), np.float64(0.6843820965497033), np.float64(0.6368371212121212), np.float64(0.667726679712981), np.float64(0.6739754098360656), np.float64(0.6790160625777064), np.float64(0.6755726207386363), np.float64(0.6515278492379291), np.float64(0.6703075200275648), np.float64(0.6743143617305318), np.float64(0.6843052511071076), np.float64(0.669715026145235), np.float64(0.6729023052717916), np.float64(0.6733682682891178), np.float64(0.675086135754931), np.float64(0.6897125244387378), np.float64(0.6948329475455576), np.float64(0.684642982588188), np.float64(0.5994014266816823)]
KNN k=5: [np.float64(0.6344916344916345), np.float64(0.688058929956061), np.float64(0.6375118783655368), np.float64(0.697628586197984), np.float64(0.7031459595317773), np.float64(0.7097874004168057), np.float64(0.7037647277050704), np.float64(0.6941854937216192), np.float64(0.7133721684307875), np.float64(0.6996285727375662), np.float64(0.7185036645464349), np.float64(0.691117277196668), np.float64(0.7094700410078811), np.float64(0.7215213908414001), np.float64(0.687788203471672), np.float64(0.6929613927450985), np.float64(0.7031579332133069), np.float64(0.7196396263338626), np.float64(0.6443951429271453)]
KNN k=6: [np.float64(0.5624645624645623), np.float64(0.6537982565379825), np.float64(0.6369318181818182), np.float64(0.697628586197984), np.float64(0.6971138975469319), np.float64(0.7045868298890056), np.float64(0.6993082189930856), np.float64(0.6855466698675149), np.float64(0.7132103069517461), np.float64(0.7128656427286565), np.float64(0.712872525117774), np.float64(0.6931206478162449), np.float64(0.7079358990751395), np.float64(0.716675100522674), np.float64(0.6918048227287434), np.float64(0.6935344141201122), np.float64(0.6999908260036926), np.float64(0.7114615411843829), np.float64(0.5953224738370483)]
KNN k=7: [np.float64(0.704847704847705), np.float64(0.7149659365614242), np.float64(0.688518504770036), np.float64(0.7055007894849145), np.float64(0.7212530317641215), np.float64(0.7281348788198103), np.float64(0.7201562835228492), np.float64(0.7048812052841061), np.float64(0.7064234609639122), np.float64(0.7251003017232918), np.float64(0.746406125318657), np.float64(0.700480929998787), np.float64(0.7275920377759837), np.float64(0.7182787695238475), np.float64(0.6880348748581065), np.float64(0.6744784035968061), np.float64(0.7023762009699763), np.float64(0.7093458285256693), np.float64(0.6315949514566302)]
KNN k=8: [np.float64(0.6344916344916345), np.float64(0.7149659365614242), np.float64(0.6871310507674143), np.float64(0.7129264667872836), np.float64(0.7095219785981434), np.float64(0.7183111155713896), np.float64(0.7276415745856354), np.float64(0.711670087346666), np.float64(0.7064988952955759), np.float64(0.7350201243611902), np.float64(0.7352451410097682), np.float64(0.7076913491236971), np.float64(0.7030384866261266), np.float64(0.710570444527006), np.float64(0.6884145497413656), np.float64(0.6889013458388958), np.float64(0.6999559971838198), np.float64(0.698669347812879), np.float64(0.6175503284594194)]
KNN k=9: [np.float64(0.661961961961962), np.float64(0.7411937377690803), np.float64(0.695945945945946), np.float64(0.7126980929358046), np.float64(0.7151086134724963), np.float64(0.7158503964240841), np.float64(0.7236145376461989), np.float64(0.719503067665915), np.float64(0.7135579065316818), np.float64(0.7487910808332943), np.float64(0.726984026980837), np.float64(0.705213007735092), np.float64(0.7010093719787258), np.float64(0.7052216618997441), np.float64(0.6690504917324046), np.float64(0.681169148841373), np.float64(0.7001548138684837), np.float64(0.7085912966064202), np.float64(0.6073710869629236)]
KNN k=10: [np.float64(0.6344916344916345), np.float64(0.7281238832638475), np.float64(0.6965944272445821), np.float64(0.7200147223931931), np.float64(0.7150520296872442), np.float64(0.7131994149396786), np.float64(0.710562635676323), np.float64(0.6964805468770862), np.float64(0.7175927373218873), np.float64(0.7293493317986229), np.float64(0.721593855945477), np.float64(0.7051937853908018), np.float64(0.7058929107255977), np.float64(0.7149290438819387), np.float64(0.6779002567969452), np.float64(0.6892741453284313), np.float64(0.7023762009699763), np.float64(0.6951103804397728), np.float64(0.5921622237411711)]
KNN k=11: [np.float64(0.6344916344916345), np.float64(0.7281238832638475), np.float64(0.7072018890200709), np.float64(0.7273704002148804), np.float64(0.7510709163193208), np.float64(0.7428694600576241), np.float64(0.740746489752816), np.float64(0.7235201879993215), np.float64(0.7131750412263187), np.float64(0.7207312101998102), np.float64(0.7085689628697435), np.float64(0.697327152806605), np.float64(0.6985568104635116), np.float64(0.7009818391273247), np.float64(0.6706581753595776), np.float64(0.687626996739581), np.float64(0.6892991503813564), np.float64(0.6804712992530193), np.float64(0.5847318587044614)]
